name	map_to
Organic compounds	ISA72695
Inorganic compounds	ISA24835
Heterocyclic compounds	ISA24532
Thiepanes	ISA38106
Organosulfur compounds	ISA33261
Pyrroloquinoline quinones	ISA50918; ISA36141
Benzoxazolines	ISA51548
Amidines	ISA2634
Cembrane diterpenoids	ISA60687
Sulfines	ISA50492; ISA35813
Sulfenes	ISA50492
Carbohydrates and carbohydrate conjugates	ISA78616
Lipids and Lipid-like molecules	ISA18059
"Amino acids, peptides, and analogues"	ISA36586
Phenylbutylamines	ISA50047; ISA22712
Dibenzofurans	ISA38922
Allenes	ISA37602
Cycloalkenes	ISA33642
Anthracenes	ISA46955
Dibenzocycloheptenes	ISA51959
Fluorenes	ISA24059
Indenes and isoindenes	ISA37910
Naphthacenes	ISA51270
Naphthalenes	ISA25477
Pentacenes	ISA51271
Phenanthrenes and derivatives	ISA25961
Purine ribonucleoside bisphosphates	ISA64620
Indanes	ISA46940
Pyridoxals and derivatives	ISA38187
Cinnamaldehydes	ISA23245
Hydroxyeicosatrienoic acids	ISA24654; ISA26208
Benzenesulfonamides	ISA35358
Benzenesulfonic acids and derivatives	ISA33552; ISA33261
Benzyl alcohols	ISA22743
Sulfobenzoic acids	ISA22723; ISA33555
Halobenzenes	ISA36684
Nitrobenzenes	ISA35716
Styrenes	ISA26799
Sulfanilides	ISA35358
Sulfamic acid derivatives	ISA33424; HFP9330
Indanediones	ISA24789; ISA3992
Biphenyls and derivatives	ISA22888
Diphenhydramines	ISA25698; ISA50996
Biphenylbenzimidazoles	ISA22715; ISA22888
Biphenyltetrazoles and derivatives	ISA35689; ISA22888
Phenylpropenes	ISA78840
Hydroxyeicosatetraenoic acids	ISA24654; ISA26208
Podophyllotoxins	ISA50307
Tetralins	ISA36786
Tametralines	ISA36786
Lactones	ISA25000
Aromatic monoterpenoids	ISA25409
Brominated biphenyls	ISA37141; ISA22888
Aminoquinolines and derivatives	ISA36709
Benzylisoquinolines	ISA24922
Dibenzothiazepines	ISA39268
Quinolones and derivatives	ISA23765
Hydroxyquinolines	ISA38774
Morphinans	ISA25418
Coumaric acids and derivatives	ISA24689
Alpha amino acids and derivatives	ISA36963; ISA35352; HFP33704
Indoloquinolines	ISA38163; ISA38101
2-sulfobenzoic acids	ISA26825
Nitrate esters	ISA51080
Macrolactams	ISA24955; ISA52898
Arsoles	ISA38414
Oxazepines	ISA38104; ISA38101
Pyrazines	ISA38314
Thiazepines	ISA48893
Azepines	ISA48105
Oxetanes	ISA38474
Diazepines	ISA47918
Dibenzodiazepines	ISA64051
Oxetenes	ISA51194
Pyridazines and derivatives	ISA37921
Pyrimidines and pyrimidine derivatives	ISA39447
Furans	ISA24129
Thiosalicylic acids and derivatives	ISA29256; HFP59124
Imidazoles	ISA24780
Imidazolines	ISA53095
Indazoles	ISA38769
Isoxazoles	ISA55373
Oxazines	ISA38101; ISA36963
Oxazoles	ISA35790
Oxazolines	ISA35790
Phosphinines	ISA25710; ISA25693
Pyrans	ISA26407
Pyrazoles	ISA26410
Pyrazolines	ISA38312
Pyridines and derivatives	ISA26421
Pyrroles	ISA26455
Pyrrolines	ISA23763
Tetrazines	ISA38101
Thiadiazoles	ISA38099
Thiazines	ISA38326
Thiazoles	ISA48901
Thiepins	ISA38106
Thiophenes	ISA26961
Triazines	ISA38102
Triazoles	ISA35727
"1'-(acyl-sn-glycero-3-phospho),3'-(acyl-sn-glycero-3-phospho)-sn-glycerols"	ISA51245
"Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids"	ISA62508
Azetidines	ISA38777
Aziridines	ISA22681
Azirines	ISA47848
Dioxolanes	ISA39430
Oxathiolanes	ISA78801
Oxazinanes	ISA46952
Oxazolidines	ISA38229
Pteridines and derivatives	ISA26373
Pterins and derivatives	ISA26375
Tetrazoles	ISA35689
Hydrazines and derivatives	ISA24631
Phenylhydrazines	ISA25996
Semicarbazides	ISA35363; ISA47857
Semicarbazones	ISA38532
Hydrazones	ISA38532
Imines	ISA24783
Ketones	ISA17087
Acetophenones	ISA22187
Benzophenones	ISA22726
Thioketones	ISA36579
Alpha-amino ketones	ISA17087; ISA50047
Benzopyrans	ISA22727
Aldehydes	ISA17478
Quinomethanes	ISA52404
Organic azides	ISA22680
Isoindoles	ISA24897
