Organisms	Organisms.1
hsa	Homo sapiens (human)
ptr	Pan troglodytes (chimpanzee)
pps	Pan paniscus (bonobo)
ggo	Gorilla gorilla gorilla (western lowland gorilla)
pon	Pongo abelii (Sumatran orangutan)
nle	Nomascus leucogenys (northern white-cheeked gibbon)
mcc	Macaca mulatta (rhesus monkey)
mcf	Macaca fascicularis (crab-eating macaque)
csab	Chlorocebus sabaeus (green monkey)
rro	Rhinopithecus roxellana (golden snub-nosed monkey)
rbb	Rhinopithecus bieti (black snub-nosed monkey)
cjc	Callithrix jacchus (white-tufted-ear marmoset)
sbq	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
mmu	Mus musculus (mouse)
mcal	Mus caroli (Ryukyu mouse)
mpah	Mus pahari (shrew mouse)
rno	Rattus norvegicus (rat)
mun	Meriones unguiculatus (Mongolian gerbil)
cge	Cricetulus griseus (Chinese hamster)
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
hgl	Heterocephalus glaber (naked mole rat)
ccan	Castor canadensis (American beaver)
ocu	Oryctolagus cuniculus (rabbit)
tup	Tupaia chinensis (Chinese tree shrew)
cfa	Canis lupus familiaris (dog)
vvp	Vulpes vulpes (red fox)
aml	Ailuropoda melanoleuca (giant panda)
umr	Ursus maritimus (polar bear)
uah	Ursus arctos horribilis
oro	Odobenus rosmarus divergens (Pacific walrus)
elk	Enhydra lutris kenyoni (northern sea otter)
fca	Felis catus (domestic cat)
ptg	Panthera tigris altaica (Amur tiger)
ppad	Panthera pardus (leopard)
aju	Acinonyx jubatus (cheetah)
bta	Bos taurus (cow)
bom	Bos mutus (wild yak)
biu	Bos indicus (zebu cattle)
bbub	Bubalus bubalis (water buffalo)
chx	Capra hircus (goat)
oas	Ovis aries (sheep)
ssc	Sus scrofa (pig)
cfr	Camelus ferus (Wild Bactrian camel)
cdk	Camelus dromedarius (Arabian camel)
bacu	Balaenoptera acutorostrata scammoni (minke whale)
lve	Lipotes vexillifer (Yangtze River dolphin)
oor	Orcinus orca (killer whale)
dle	Delphinapterus leucas (beluga whale)
pcad	Physeter catodon (sperm whale)
ecb	Equus caballus (horse)
epz	Equus przewalskii (Przewalski's horse)
eai	Equus asinus (ass)
myb	Myotis brandtii (Brandt's bat)
myd	Myotis davidii
mna	Miniopterus natalensis
hai	Hipposideros armiger (great roundleaf bat)
dro	Desmodus rotundus (common vampire bat)
pale	Pteropus alecto (black flying fox)
ray	Rousettus aegyptiacus (Egyptian rousette)
mjv	Manis javanica (Malayan pangolin)
lav	Loxodonta africana (African savanna elephant)
tmu	Trichechus manatus latirostris (Florida manatee)
mdo	Monodelphis domestica (opossum)
shr	Sarcophilus harrisii (Tasmanian devil)
pcw	Phascolarctos cinereus (koala)
oaa	Ornithorhynchus anatinus (platypus)
gga	Gallus gallus (chicken)
mgp	Meleagris gallopavo (turkey)
cjo	Coturnix japonica (Japanese quail)
nmel	Numida meleagris (helmeted guineafowl)
apla	Anas platyrhynchos (mallard)
acyg	Anser cygnoides domesticus (swan goose)
tgu	Taeniopygia guttata (zebra finch)
lsr	Lonchura striata domestica (Bengalese finch)
scan	Serinus canaria (common canary)
gfr	Geospiza fortis (medium ground-finch)
fab	Ficedula albicollis (collared flycatcher)
phi	Pseudopodoces humilis (Tibetan ground-tit)
pmaj	Parus major (Great Tit)
ccae	Cyanistes caeruleus (blue tit)
ccw	Corvus cornix (hooded crow)
etl	Empidonax traillii (willow flycatcher)
fpg	Falco peregrinus (peregrine falcon)
fch	Falco cherrug (Saker falcon)
clv	Columba livia (rock pigeon)
egz	Egretta garzetta (little egret)
nni	Nipponia nippon (crested ibis)
acun	Athene cunicularia (burrowing owl)
padl	Pygoscelis adeliae (Adelie penguin)
aam	Apteryx mantelli mantelli (brown kiwi)
asn	Alligator sinensis (Chinese alligator)
amj	Alligator mississippiensis (American alligator)
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
cmy	Chelonia mydas (green sea turtle)
cpic	Chrysemys picta (western painted turtle)
acs	Anolis carolinensis (green anole)
pvt	Pogona vitticeps (central bearded dragon)
pbi	Python bivittatus (Burmese python)
pmur	Protobothrops mucrosquamatus (Taiwan habu)
tsr	Thamnophis sirtalis
pmua	Podarcis muralis (common wall lizard)
gja	Gekko japonicus
xla	Xenopus laevis (African clawed frog)
xtr	Xenopus tropicalis (western clawed frog)
npr	Nanorana parkeri
dre	Danio rerio (zebrafish)
srx	Sinocyclocheilus rhinocerous
sanh	Sinocyclocheilus anshuiensis
sgh	Sinocyclocheilus grahami
ccar	Cyprinus carpio (common carp)
ipu	Ictalurus punctatus (channel catfish)
phyp	Pangasianodon hypophthalmus (striped catfish)
amex	Astyanax mexicanus (Mexican tetra)
eee	Electrophorus electricus (electric eel)
