CHEBIID	KEGGID
chebi:16042	cpd:C00462
chebi:17051	cpd:C00742
chebi:28741	cpd:C08142
chebi:17996	cpd:C00698
chebi:6636	cpd:C07755
chebi:31206	cpd:C12538
chebi:3312	cpd:C08130
chebi:26710	cpd:C13563
chebi:37117	cpd:C15226
chebi:74856	cpd:C15235
chebi:2380	cpd:C07677
chebi:2619	cpd:C07939
chebi:9016	cpd:C11744
chebi:3649	cpd:C07952
chebi:5882	cpd:C07982
chebi:8714	cpd:C07340
chebi:8492	cpd:C07384
chebi:7859	cpd:C08026
chebi:51739	cpd:C19315
chebi:2969	cpd:C08123
chebi:34993	cpd:C13978
chebi:31325	cpd:C12490
chebi:31368	cpd:C12557
chebi:59936	cpd:C13993
chebi:6518	cpd:C08053
chebi:7008	cpd:C08054
chebi:71419	cpd:C19290
chebi:71428	cpd:C07376
chebi:74728	cpd:C19554
chebi:74843	cpd:C13112
chebi:7576	cpd:C11276
chebi:9216	cpd:C11619
chebi:7452	cpd:C08072
chebi:87665	cpd:C19252
chebi:3012	cpd:C07701
chebi:79772	cpd:C15270
chebi:28786	cpd:C00225
chebi:28510	cpd:C05904
chebi:75033	cpd:C08726
chebi:75035	cpd:C08727
chebi:6872	cpd:C00220
chebi:9505	cpd:C13503
chebi:52672	cpd:C11177
chebi:8828	cpd:C11190
chebi:52334	cpd:C19517
chebi:3020	cpd:C08037
chebi:34845	cpd:C13591
chebi:72449	cpd:C18367
chebi:16726	cpd:C04491
chebi:78019	cpd:C11305
chebi:3566	cpd:C11307
chebi:8682	cpd:C11179
chebi:31264	cpd:C12539
chebi:81772	cpd:C18475
chebi:15858	cpd:C00720
chebi:15858	cpd:C01324
chebi:4883	cpd:C11161
chebi:15797	cpd:C04905
chebi:16986	cpd:C04908
chebi:16986	cpd:C04908
chebi:9702	cpd:C11761
chebi:2739	cpd:C06830
chebi:3567	cpd:C11275
chebi:179557	cpd:C08197
chebi:16382	cpd:C00708
chebi:33167	cpd:C14042
chebi:4290	cpd:C07488
chebi:9704	cpd:C07862
chebi:228275	cpd:C18391
chebi:8346	cpd:C08219
chebi:37136	cpd:C13881
chebi:48775	cpd:C01413
chebi:49807	cpd:C06696
chebi:35104	cpd:C13884
chebi:29108	cpd:C00076
chebi:3311	cpd:C08129
chebi:31338	cpd:C13189
chebi:31346	cpd:C13194
chebi:32584	cpd:C17258
chebi:5010	cpd:C02539
chebi:31336	cpd:C12935
chebi:64301	cpd:C19113
chebi:9679	cpd:C08136
chebi:35433	cpd:C13556
chebi:18420	cpd:C00305
chebi:48828	cpd:C00175
chebi:53470	cpd:C17383
chebi:53470	cpd:C19215
chebi:23414	cpd:C18713
chebi:29033	cpd:C14818
chebi:16793	cpd:C00703
chebi:29105	cpd:C00038
chebi:79736	cpd:C15229
chebi:29101	cpd:C01330
chebi:34683	cpd:C13558
chebi:38699	cpd:C18588
chebi:22868	cpd:C01558
chebi:34659	cpd:C13721
chebi:8769	cpd:C07865
chebi:32139	cpd:C12603
chebi:9179	cpd:C07695
chebi:34535	cpd:C13652
chebi:6446	cpd:C08212
chebi:31562	cpd:C13031
chebi:3542	cpd:C08100
chebi:34978	cpd:C14010
chebi:35017	cpd:C14021
chebi:34609	cpd:C13967
chebi:34612	cpd:C13976
chebi:7448	cpd:C08124
chebi:31358	cpd:C12712
chebi:34691	cpd:C13756
chebi:52019	cpd:C13756
chebi:34836	cpd:C13973
chebi:52101	cpd:C20348
chebi:8233	cpd:C07361
chebi:3490	cpd:C08104
chebi:3492	cpd:C08105
chebi:3481	cpd:C08102
chebi:3498	cpd:C08113
chebi:53731	cpd:C16001
chebi:31363	cpd:C13016
chebi:3512	cpd:C08118
chebi:9405	cpd:C07574
chebi:31377	cpd:C13376
chebi:3545	cpd:C08101
chebi:34650	cpd:C13553
chebi:4318	cpd:C07933
chebi:9327	cpd:C08051
chebi:63928	cpd:C18378
chebi:9619	cpd:C02328
chebi:34614	cpd:C13968
chebi:6711	cpd:C02996
chebi:78897	cpd:C19307
chebi:81934	cpd:C18748
chebi:32137	cpd:C13414
chebi:80105	cpd:C15819
chebi:82427	cpd:C19372
chebi:82369	cpd:C19294
chebi:82467	cpd:C19422
chebi:82305	cpd:C19213
chebi:82468	cpd:C19423
chebi:91260	cpd:C20341
chebi:32140	cpd:C13403
chebi:82010	cpd:C18851
chebi:8984	cpd:C11166
chebi:81737	cpd:C18424
chebi:29678	cpd:C11906
chebi:32149	cpd:C13199
chebi:39289	cpd:C18816
chebi:65242	cpd:C18765
chebi:75215	cpd:C15455
chebi:78667	cpd:C19523
chebi:33192	cpd:C18673
chebi:29103	cpd:C00238
chebi:32029	cpd:C12554
chebi:32030	cpd:C13198
chebi:32036	cpd:C13192
chebi:38211	cpd:C19295
chebi:53444	cpd:C15227
chebi:81862	cpd:C18606
chebi:131527	cpd:C13197
chebi:49847	cpd:C17061
chebi:29034	cpd:C14819
chebi:5015	cpd:C11223
chebi:5044	cpd:C07597
chebi:33007	cpd:C19161
chebi:49544	cpd:C19368
chebi:81908	cpd:C18714
chebi:15378	cpd:C00080
chebi:24636	cpd:C00080
chebi:9177	cpd:C11171
chebi:35030	cpd:C14029
chebi:34912	cpd:C13540
chebi:34789	cpd:C13980
chebi:32062	cpd:C13110
chebi:81048	cpd:C17382
chebi:81053	cpd:C17389
chebi:81840	cpd:C18572
chebi:60579	cpd:C17478
chebi:52099	cpd:C11601
chebi:74889	cpd:C18723
chebi:4846	cpd:C08031
chebi:6109	cpd:C08046
chebi:5312	cpd:C11334
chebi:9984	cpd:C11626
chebi:8055	cpd:C00200
chebi:5899	cpd:C08089
chebi:7516	cpd:C08200
chebi:55413	cpd:C11206
chebi:79401	cpd:C13974
chebi:35095	cpd:C13681
chebi:11222	cpd:C02691
chebi:34502	cpd:C14053
chebi:34706	cpd:C14055
chebi:24624	cpd:C19432
chebi:34932	cpd:C13524
chebi:4379	cpd:C08087
chebi:31490	cpd:C13168
chebi:31487	cpd:C13167
chebi:34704	cpd:C14054
chebi:7497	cpd:C08091
chebi:32170	cpd:C13129
chebi:82392	cpd:C19331
chebi:52498	cpd:C15232
chebi:52492	cpd:C15225
chebi:81755	cpd:C18450
chebi:81539	cpd:C18144
chebi:52497	cpd:C15231
chebi:81754	cpd:C18449
chebi:6504	cpd:C07964
