cid	glytoucan	siid
CID10103058	G66741YQ	SID252285181
CID10145887	G18892PE	SID252295359
CID10147060	G62732AB	SID252290143
CID10147061	G47924XK	SID252288943
CID10147853	G42039AA	SID252290808
CID10170667	G70073SG	SID252289748
CID10220660	G18923CQ	SID252279043
CID10220660	G23211TW	SID252295428
CID10230776	G90562PB	SID252279468
CID10232075	G46222DM	SID252278370
CID10235450	G18980FQ	SID252278411
CID10295910	G85714GY	SID252282028
CID10322152	G13157WZ	SID252280834
CID10464278	G24604HV	SID252287190
CID10606585	G29857RC	SID252294128
CID10909468	G88495BI	SID252283786
CID10939528	G72576LG	SID252280888
CID10985260	G09376MR	SID252292342
CID11013287	G07490EK	SID252290252
CID11051152	G26123AX	SID252287193
CID11124767	G17792PO	SID252292039
CID11136642	G72002FC	SID252278234
CID11240401	G44747CU	SID252288176
CID11409652	G08371CD	SID252285889
CID11425306	G13902SG	SID252286925
CID11425306	G30770II	SID252297151
CID11425306	G74458LK	SID252294439
CID11467391	G15407YE	SID252294899
CID11813941	G65996GC	SID252292270
CID12275066	G32430MQ	SID252292003
CID12775251	G76680HJ	SID252288423
CID12775252	G21290RB	SID252276425
CID136665963	G53433AN	SID252280324
CID136665996	G89293FU	SID252285220
CID136666002	G06097MI	SID252285854
CID136666020	G47495KE	SID252288286
CID136666036	G32437SG	SID252289867
CID136666715	G83078TI	SID252294769
CID136666725	G12067FX	SID252295862
CID13846931	G90142YY	SID252279244
CID13991612	G47325QT	SID252287541
CID16211038	G97953NC	SID252294669
CID16216990	G06210XB	SID252290374
CID16219440	G78260AJ	SID252288979
CID17106	G82576YO	SID252296549
CID191579	G82236PZ	SID252281646
CID195923	G14023WK	SID252293284
CID21670523	G79536OW	SID252287878
CID21670525	G01767JJ	SID252296233
CID25062237	G00058MO	SID252286874
CID25069113	G05724WC	SID252296026
CID25257164	G31736BK	SID252296959
CID3010289	G37135JQ	SID252279559
CID439177	G99991IU	SID252292133
CID439353	G65889KE	SID252292053
CID439357	G09546QO	SID252290807
CID439680	G74840NI	SID252296405
CID441248	G78436BB	SID252288330
CID444863	G85196CF	SID252294856
CID445037	G17927IW	SID252292652
CID44611309	G98335IX	SID252295463
CID44611450	G13003UU	SID252289134
CID44611539	G00051MO	SID252296557
CID45266845	G79389NT	SID252281081
CID46224570	G86123DJ	SID252293125
CID46224576	G49930HB	SID252283855
CID46906103	G54406UD	SID252277569
CID49852424	G55205ZV	SID252289996
CID50909806	G74917JX	SID252279540
CID50909845	G79535HZ	SID252276494
CID50992178	G19017MP	SID252284568
CID5288272	G61399NC	SID252278890
CID5288355	G41327HW	SID252294100
CID5288361	G51591NI	SID252294751
CID5288888	G85856KC	SID252292982
CID5288889	G00061MO	SID252296009
CID5288963	G92805XC	SID252286601
CID5288967	G34442SS	SID252277659
CID5289010	G19524AS	SID252283994
CID5289352	G78706CK	SID252277415
CID5289353	G12295TB	SID252281576
CID5289361	G14000ZZ	SID252292126
CID5289367	G83513YI	SID252292006
CID52921591	G02240AO	SID252276715
CID53481024	G78098IA	SID252282748
CID53793176	G99909LZ	SID252276537
CID53971868	G09126MW	SID252286865
CID54122455	G34926IG	SID252296046
CID54333164	G58645HA	SID252294398
CID54486861	G87236NR	SID252290919
CID5459926	G27798EJ	SID252287363
CID56611864	G00041MO	SID252296995
CID56623159	G56838SE	SID252291094
CID56636285	G76837VW	SID252296106
CID56835915	G70213NR	SID252285992
CID56836111	G51699SI	SID252279303
CID56836112	G31135WM	SID252296891
CID56836117	G65236OQ	SID252292951
CID56836176	G71230WH	SID252279486
CID56836390	G84034JH	SID252292359
CID6134	G84224TW	SID252287609
CID64689	G71142DF	SID252285668
CID656504	G40748TG	SID252288102
CID656504	G55419VV	SID252279706
CID656944	G79333MY	SID252287064
CID67610356	G38478SQ	SID252292256
CID67743883	G61055FR	SID252284121
CID6918014	G48646LG	SID252280995
CID70678911	G21808VY	SID252284512
CID70678913	G07357YR	SID252276706
CID70680314	G10666VQ	SID252284606
CID70698377	G71814NS	SID252281613
CID70698387	G00672PE	SID252285736
CID71297236	G24529NQ	SID252287325
CID71297252	G40544US	SID252278914
CID71297253	G82746VF	SID252296878
CID71297254	G99510WI	SID252290180
CID71297279	G10973QG	SID252288976
CID71297292	G82207VX	SID252296962
CID71297316	G94626AX	SID252297112
CID71297320	G98878RR	SID252295914
CID71297335	G27139SJ	SID252297208
CID71297361	G47023PF	SID252291254
CID71297362	G31265VL	SID252288255
CID71297363	G05108UT	SID252290257
CID71297366	G12033AP	SID252292077
CID71297368	G35528XC	SID252287776
CID71297370	G01595SM	SID252279168
CID71297375	G22327VZ	SID252296547
CID71297376	G01542OM	SID252296706
CID71297377	G33273UQ	SID252275893
CID71297378	G88469YE	SID252276448
CID71297379	G50354DO	SID252292264
CID71297383	G57311FK	SID252285484
CID71297387	G93869JB	SID252283442
CID71297388	G30295SC	SID252287189
CID71297389	G65484DP	SID252285718
CID71297390	G01713HS	SID252284957
CID71297392	G45995IV	SID252283362
CID71297398	G75571YN	SID252285533
CID71297401	G48421GV	SID252291862
CID71297402	G06920GM	SID252293255
CID71297403	G87308QC	SID252295734
CID71297404	G07169PS	SID252281977
CID71297410	G14576KZ	SID252276280
CID71297411	G69987TD	SID252278952
CID71297413	G49282JI	SID252282840
CID71297414	G72373YW	SID252289230
CID71297415	G33439FJ	SID252283397
CID71297416	G36693BM	SID252296213
CID71297417	G75022UP	SID252284464
CID71297418	G82405LP	SID252276288
CID71297419	G00492CQ	SID252283921
CID71297427	G00706QN	SID252294164
CID71297428	G62574BY	SID252276846
CID71297429	G34622QG	SID252296765
CID71297430	G12526AB	SID252294636
CID71297431	G74949YP	SID252294165
CID71297432	G08043ID	SID252278986
CID71297433	G51209GW	SID252292480
CID71297434	G52547JZ	SID252281625
CID71297435	G87668ED	SID252280464
CID71297436	G72108VJ	SID252293011
CID71297437	G56175ED	SID252281750
CID71297438	G30915AU	SID252278942
CID71297439	G70308HL	SID252290858
CID71297440	G09319JK	SID252280679
CID71297441	G03834RX	SID252278038
CID71297442	G70548CP	SID252283005
CID71297443	G65984FE	SID252295061
CID71297445	G87777GG	SID252279199
CID71297446	G78342SP	SID252287222
CID71297449	G38371WW	SID252286101
CID71297453	G76241TN	SID252284987
CID71297454	G47675LW	SID252292479
CID71297455	G75584LU	SID252283911
CID71297456	G56653RI	SID252276845
CID71297457	G44770ZI	SID252282997
CID71297459	G87695KR	SID252294628
CID71297460	G78681QL	SID252291683
CID71297464	G11960UF	SID252283420
CID71297471	G60653VD	SID252293832
CID71297474	G49369WH	SID252277959
CID71297476	G59149SL	SID252275987
CID71297478	G02915XR	SID252294986
CID71297480	G68651MF	SID252283551
CID71297481	G68679LW	SID252282562
CID71297482	G30542PN	SID252292639
CID71297483	G83644CC	SID252278783
CID71297487	G86504RY	SID252291517
CID71297489	G71320DE	SID252288675
CID71297491	G15518HO	SID252281147
CID71297492	G81013EK	SID252281127
CID71297493	G17460MY	SID252289124
CID71297494	G40915GX	SID252285729
CID71297496	G97023FS	SID252277707
CID71297497	G48466UB	SID252296490
CID71297499	G56756FT	SID252294726
CID71297504	G93686CT	SID252278446
CID71297511	G29965VW	SID252277859
CID71297513	G86386QT	SID252288712
CID71297514	G04445KN	SID252285510
CID71297516	G10106TL	SID252289776
CID71297517	G10881VB	SID252277332
CID71297518	G79249GP	SID252278955
CID71297520	G21005TQ	SID252278452
CID71297522	G61717JN	SID252288753
CID71297523	G39893KL	SID252279571
CID71297524	G92257YN	SID252294109
CID71297525	G18160VJ	SID252294637
CID71297532	G05319BS	SID252284472
CID71297534	G37986HU	SID252287201
CID71297535	G24668UI	SID252283884
CID71297536	G70387YT	SID252283004
CID71297537	G79781PS	SID252278450
CID71297543	G36859SD	SID252289636
CID71297545	G44754DF	SID252292933
CID71297546	G91599FN	SID252289846
CID71297547	G93624ZP	SID252277925
CID71297549	G24585JV	SID252296356
CID71297550	G70851FQ	SID252282246
CID71297551	G29024OJ	SID252285015
CID71297552	G53582JE	SID252294623
CID71297553	G37827FY	SID252285551
CID71297564	G71782CJ	SID252293431
CID71297565	G54380FJ	SID252289150
CID71297566	G19447ZX	SID252290209
CID71297567	G62364JZ	SID252287761
CID71297568	G06250ZP	SID252290300
CID71297569	G44023GI	SID252283466
CID71297574	G59810YR	SID252278829
CID71297576	G93746CY	SID252282807
CID71297578	G63480NF	SID252283002
CID71297579	G67915MO	SID252294625
CID71297581	G98292JT	SID252278963
CID71297583	G84287MH	SID252277464
CID71297584	G84329MX	SID252287204
CID71297585	G49664YG	SID252288489
CID71297586	G92575UZ	SID252293293
CID71297587	G20079RG	SID252286273
CID71297598	G36171JA	SID252278737
CID71297600	G62519IY	SID252281666
CID71297601	G69485SE	SID252277070
CID71297607	G72460OS	SID252280391
CID71297609	G09125WG	SID252276543
CID71297610	G94926TV	SID252296367
CID71297611	G30857WQ	SID252285039
CID71297613	G07292LK	SID252281591
CID71297614	G51795VM	SID252295049
CID71297615	G95223JW	SID252295414
CID71297616	G03652TR	SID252281213
CID71297618	G24599MW	SID252294598
CID71297623	G18410AS	SID252292476
CID71297625	G38297TU	SID252291856
CID71297626	G47498FQ	SID252279203
CID71297631	G97575FW	SID252282895
CID71297632	G43677XO	SID252282796
CID71297633	G52558CF	SID252280080
CID71297634	G63160NR	SID252281920
CID71297635	G86110YJ	SID252278866
CID71297636	G63389VQ	SID252277983
CID71297638	G65893EZ	SID252278977
CID71297648	G27874QL	SID252288172
CID71297649	G99622IJ	SID252276802
CID71297650	G88884NJ	SID252285234
CID71297652	G01670UQ	SID252278870
CID71297653	G68318SH	SID252295863
CID71297654	G58236FD	SID252286753
CID71297655	G37591JC	SID252279321
CID71297658	G35722YG	SID252285663
CID71297659	G52971DE	SID252294131
CID71297660	G73866ZM	SID252288236
CID71297663	G56095ZZ	SID252292357
CID71297664	G79520GQ	SID252296523
CID71297665	G99306JE	SID252287924
CID71297670	G62779OI	SID252276744
CID71297672	G03740OH	SID252284509
CID71297673	G05948HK	SID252290107
CID71297674	G80637VS	SID252283701
CID71297681	G01361CV	SID252279783
CID71297684	G33685ZQ	SID252292091
CID71297685	G70382WT	SID252290496
CID71297687	G88242BL	SID252286803
CID71297691	G72954XC	SID252295295
CID71297692	G90889KG	SID252296822
CID71297694	G69725KG	SID252284842
CID71297695	G49225WK	SID252286676
CID71297697	G41912CL	SID252296698
CID71297698	G51333KM	SID252286100
CID71297699	G97109LT	SID252296010
CID71297700	G65294YU	SID252279951
CID71297701	G01489UZ	SID252288824
CID71297702	G10627KR	SID252286899
CID71297703	G54151YB	SID252291645
CID71297704	G73683LQ	SID252281652
CID71297707	G48020LQ	SID252283188
CID71297708	G74312RU	SID252290952
CID71297710	G53809CJ	SID252291471
CID71297714	G41821MR	SID252289584
CID71297715	G28896CL	SID252294338
CID71297716	G19287UY	SID252288234
CID71297720	G86522OD	SID252280176
CID71297722	G72356JA	SID252291462
CID71297724	G73907HE	SID252293054
CID71297725	G14854WL	SID252288352
CID71297727	G13583BZ	SID252279061
CID71297728	G58517TJ	SID252282355
CID71297735	G42295MA	SID252283838
CID71297740	G48713OY	SID252277530
CID71297741	G51891DI	SID252276929
CID71297742	G16397GM	SID252281893
CID71297744	G27040MJ	SID252295883
CID71297745	G47531XE	SID252297006
CID71297746	G13672YG	SID252279897
CID71297748	G52112MC	SID252285809
CID71297749	G56271ML	SID252285102
CID71297752	G61956VN	SID252277278
CID71297753	G68817WF	SID252288099
CID71297755	G56852BX	SID252292289
CID71297756	G74716XL	SID252296798
CID71297761	G33981FE	SID252276026
CID71297763	G17968CJ	SID252291834
CID71297764	G29138OW	SID252280047
CID71297765	G94013XT	SID252278961
CID71297767	G19747OA	SID252294638
CID71297775	G76924RW	SID252287695
CID71297777	G48442VP	SID252295174
CID71297778	G20174ZL	SID252288739
CID71297782	G93164KQ	SID252284661
CID71297783	G74290AC	SID252278486
CID71297784	G31993QW	SID252290099
CID71297787	G79810PX	SID252278088
CID71297789	G64860JV	SID252293904
CID71297794	G64259ZR	SID252284159
CID71297795	G08373SM	SID252292697
CID71297796	G45408ZW	SID252286001
CID71297797	G19339UM	SID252292800
CID71297798	G81121OC	SID252279106
CID71297802	G84674JQ	SID252284503
CID71297805	G37260FV	SID252293865
CID71297808	G87107PF	SID252278317
CID71297809	G26394UA	SID252294907
CID71297810	G89058RF	SID252297075
CID71297812	G93788SW	SID252278620
CID71297813	G05478GN	SID252284889
CID71297814	G89364NG	SID252282690
CID71297821	G09322OS	SID252288366
CID71297828	G47741BL	SID252283821
CID71297830	G63413QV	SID252279973
CID71297831	G24705DL	SID252280243
CID71297832	G99141XX	SID252289761
CID71297833	G75082OS	SID252286260
CID71297834	G95186HE	SID252277134
CID71297835	G17441MI	SID252280038
CID71297836	G28330DZ	SID252294047
CID71297837	G38658JL	SID252278472
CID71297838	G39531LA	SID252290033
CID71297840	G93638BI	SID252278387
CID71297841	G14438ZT	SID252276159
CID71297847	G23296IL	SID252281862
CID71297848	G85545IG	SID252284918
CID71297849	G66932MV	SID252286539
CID71297852	G39452ZZ	SID252276896
CID71297853	G83737UD	SID252277161
CID71297854	G67767BR	SID252279315
CID71297856	G40482NA	SID252278608
CID71297859	G00432WV	SID252292095
CID71297864	G21454AE	SID252287030
CID71297867	G96916QO	SID252276221
CID71297868	G47961DI	SID252287070
CID71297869	G37306TB	SID252278202
CID71297873	G72356VO	SID252286949
CID71297874	G58217PP	SID252287067
CID71297875	G25902AL	SID252283111
CID71297880	G67898UK	SID252293205
CID71297881	G70236HL	SID252276941
CID71297882	G59041MP	SID252289627
CID71297883	G43499QE	SID252287454
CID71297884	G13495RN	SID252283324
CID71297886	G67608DN	SID252280295
CID71297887	G29695SR	SID252285305
CID71297889	G48527XN	SID252281064
CID71297890	G94806YM	SID252290005
CID71297898	G83540SE	SID252290288
CID71297899	G56791SN	SID252282319
CID71297903	G57075OH	SID252286496
CID71297911	G93446UA	SID252276529
CID71297913	G40343KH	SID252283265
CID71297917	G50507PS	SID252282902
CID71297922	G27929ZE	SID252288723
CID71297923	G83600PQ	SID252285563
CID71297928	G52724WY	SID252284715
CID71297930	G67342MA	SID252284488
CID71297931	G05979RR	SID252295408
CID71297934	G02182MJ	SID252278072
CID71297935	G95334YI	SID252283159
CID71297936	G46059YJ	SID252280634
CID71297940	G09568JT	SID252288559
CID71297945	G56963QZ	SID252291634
CID71297946	G70072FZ	SID252287525
CID71297947	G62968IF	SID252285740
CID71297952	G35484EX	SID252278285
CID71297953	G11700UP	SID252288829
CID71297954	G78434AN	SID252293929
CID71297955	G39809FW	SID252282321
CID71297959	G10470SE	SID252278127
CID71297960	G88734GE	SID252279593
CID71297961	G42824AQ	SID252293763
CID71297962	G99568AR	SID252289928
CID71297963	G85755BV	SID252277641
CID71297966	G72131JM	SID252282973
CID71297972	G89261EQ	SID252284080
CID71297975	G00606LX	SID252287607
CID71297978	G54158IT	SID252278863
CID71297979	G41789QF	SID252287121
CID71297980	G85607DC	SID252280522
CID71297981	G33188UJ	SID252281172
CID71297982	G59513YA	SID252277228
CID71297983	G49440XK	SID252294988
CID71297988	G83958MI	SID252287985
CID71298003	G17207FU	SID252293683
CID71298004	G89325VN	SID252293924
CID71298005	G01613KN	SID252279598
CID71298006	G02122FK	SID252287409
CID71298008	G14015IL	SID252292333
CID71298015	G92594VG	SID252279750
CID71298020	G82038RE	SID252289875
CID71298051	G83455QZ	SID252286498
CID71298061	G28960YA	SID252282596
CID71298062	G77915WT	SID252295424
CID71298081	G70444FA	SID252290091
CID71298086	G47391NN	SID252289439
CID71298089	G76036GS	SID252291900
CID71298090	G72914LC	SID252277461
CID71298096	G47921ZO	SID252296040
CID71298097	G63717SU	SID252297273
CID71298101	G52460PC	SID252288370
CID71298102	G81466NG	SID252289044
CID71298103	G23654OQ	SID252297081
CID71298104	G11482NO	SID252297069
CID71298105	G97083VO	SID252294114
CID71298106	G07293JT	SID252292934
CID71298107	G73991ZU	SID252283201
CID71298108	G22012EW	SID252293925
CID71298109	G96463EY	SID252290941
CID71298111	G78108ZM	SID252295556
CID71298112	G90146ME	SID252278023
CID71298118	G73582RP	SID252282692
CID71298119	G48465YI	SID252276069
CID71298124	G33593EQ	SID252278055
CID71298125	G66162WI	SID252292766
CID71298126	G76431SN	SID252277456
CID71298129	G85721WE	SID252294894
CID71298130	G25421NH	SID252287411
CID71298134	G47520QY	SID252294213
CID71298136	G33350QT	SID252292706
CID71298142	G26099QT	SID252291827
CID71298144	G46772BG	SID252288213
CID71298145	G77208XM	SID252286283
CID71298146	G51963NX	SID252293569
CID71298147	G32588AA	SID252288065
CID71298149	G22787WJ	SID252280639
CID71298150	G49349BS	SID252285782
CID71298158	G72304KR	SID252285301
CID71298160	G68253RD	SID252294149
CID71298161	G77503IE	SID252287783
CID71298162	G30255XL	SID252277042
CID71298181	G87860OU	SID252286882
CID71298191	G72060BE	SID252283443
CID71298197	G11876US	SID252278739
CID71298207	G64604UL	SID252282041
CID71298213	G53834TX	SID252287777
CID71298214	G58846EV	SID252277781
CID71298218	G58793GF	SID252286976
CID71298219	G29489PN	SID252284251
CID71298220	G80147HT	SID252288903
CID71298221	G86199GK	SID252288313
CID71298224	G25937FN	SID252290500
CID71298226	G01450RG	SID252280170
CID71298227	G10604KJ	SID252291409
CID71298228	G10581YA	SID252291304
CID71298241	G93520MA	SID252276112
CID71298242	G20993TP	SID252288561
CID71298243	G85302NF	SID252289328
CID71298247	G36983SB	SID252277327
CID71298248	G42993UG	SID252278916
CID71298253	G46609ZR	SID252290438
CID71298254	G59999BN	SID252291033
CID71298255	G35409SK	SID252279654
CID71298263	G47537XW	SID252276346
CID71298264	G66512FS	SID252281752
CID71298265	G15249CA	SID252282830
CID71298267	G75599HG	SID252281759
CID71298270	G55104BW	SID252287531
CID71298272	G50762OP	SID252282649
CID71298274	G71338QU	SID252276610
CID71298279	G60949GI	SID252292827
CID71298280	G40757HO	SID252284162
CID71298281	G34863TS	SID252290062
CID71298286	G29849JL	SID252288908
CID71298288	G80176YK	SID252283412
CID71298290	G25835YC	SID252281745
CID71298291	G16456ZV	SID252286012
CID71298293	G54334WY	SID252289463
CID71298294	G76481US	SID252289315
CID71298295	G54561II	SID252286529
CID71298300	G75687SF	SID252282970
CID71298301	G17300DB	SID252293940
CID71298303	G33401IN	SID252281967
CID71298310	G71409LF	SID252282294
CID71298313	G59659CN	SID252296181
CID71298317	G36404TW	SID252283774
CID71298319	G00901NZ	SID252284991
CID71298320	G89398MH	SID252296737
CID71298326	G66184ZO	SID252283910
CID71298327	G89058HG	SID252281736
CID71298329	G96349RY	SID252288715
CID71298330	G79915IB	SID252277903
CID71298331	G47925PB	SID252294540
CID71298332	G17077YF	SID252292435
CID71298333	G88089UV	SID252296756
CID71298334	G02244ID	SID252286955
CID71298342	G51809TM	SID252278267
CID71298346	G04014FP	SID252294170
CID71298348	G43415UJ	SID252276789
CID71298370	G07430HH	SID252286462
CID71298375	G99354AR	SID252292611
CID71298379	G91181WA	SID252283475
CID71298396	G55331YF	SID252278793
CID71298397	G12761QA	SID252288088
CID71298398	G75586OT	SID252297121
CID71298399	G08358DN	SID252289587
CID71298403	G16503YF	SID252277656
CID71298404	G07061BV	SID252296175
CID71298407	G33633KK	SID252295137
CID71298411	G50896EJ	SID252278995
CID71298412	G53220ZS	SID252290565
CID71298415	G37597VQ	SID252290649
CID71298416	G58276QF	SID252290853
CID71298417	G44917UQ	SID252289422
CID71298421	G21905ZO	SID252281742
CID71298422	G78011OA	SID252286654
CID71298423	G06523WI	SID252292473
CID71298424	G92296LB	SID252283915
CID71298429	G94705OR	SID252295667
CID71298430	G64165TJ	SID252275761
CID71298431	G62741IO	SID252281204
CID71298432	G19238ZQ	SID252296764
CID71298433	G41324RH	SID252279573
CID71298438	G02799CL	SID252289801
CID71298439	G36046VV	SID252287655
CID71298440	G76389HC	SID252279933
CID71298441	G05128BK	SID252296174
CID71298442	G45494FB	SID252277225
CID71298454	G43925AD	SID252288724
CID71298457	G40909HG	SID252290375
CID71298458	G00520NI	SID252293871
CID71298459	G89230YO	SID252281102
CID71298462	G33364OS	SID252282995
CID71298463	G60833BB	SID252290081
CID71298465	G94566ZN	SID252281188
CID71298466	G97452SL	SID252279377
CID71298467	G33740YL	SID252285861
CID71298485	G64485VT	SID252293039
CID71298487	G51216AJ	SID252284428
CID71298488	G60799ZL	SID252291698
CID71298489	G30284BK	SID252278971
CID71298490	G53472RQ	SID252295252
CID71298491	G85284LO	SID252282249
CID71298496	G31540HC	SID252290831
CID71298497	G25146DY	SID252296644
CID71298499	G98073MH	SID252290548
CID71298501	G14346JI	SID252292963
CID71298508	G44772RK	SID252293330
CID71298517	G98327TQ	SID252282214
CID71298523	G01464ES	SID252276202
CID71609400	G91560NT	SID252288191
CID78225596	G69440RD	SID252286492
CID86291120	G81229DT	SID252297022
CID91844946	G71013KY	SID252275769
CID91844952	G85930OB	SID252275775
CID91844953	G98115AV	SID252275776
CID91844956	G28477UY	SID252275779
CID91844961	G85974HF	SID252275784
CID91844965	G10818SM	SID252275788
CID91844971	G71085CJ	SID252275796
CID91844984	G16276IK	SID252275811
CID91844987	G40452FK	SID252275814
CID91844989	G48148UW	SID252275818
CID91844992	G40900UQ	SID252275822
CID91845011	G46185ND	SID252275842
CID91845014	G91704EI	SID252275846
CID91845019	G59451NL	SID252275851
CID91845020	G58995TS	SID252275852
CID91845024	G41722LN	SID252275856
CID91845039	G53933PW	SID252275878
CID91845041	G15667CY	SID252275880
CID91845044	G47174QJ	SID252275884
CID91845051	G27179AJ	SID252275892
CID91845058	G85838ZJ	SID252275900
CID91845081	G32358YV	SID252275923
CID91845098	G07842DQ	SID252275940
CID91845112	G38997JB	SID252275954
CID91845113	G41227XH	SID252275955
CID91845115	G29622NE	SID252275957
CID91845125	G17597KD	SID252275967
CID91845126	G11189WY	SID252275968
CID91845134	G22117NA	SID252275976
CID91845136	G89036WC	SID252275978
CID91845152	G60330MA	SID252275997
CID91845155	G63889NK	SID252276000
CID91845162	G91550OH	SID252276008
CID91845164	G50215WR	SID252276010
CID91845170	G93692VT	SID252276016
