KEGGID	HMDBID
cpd:C00001	hmdb:HMDB02111
cpd:C00002	hmdb:HMDB00538
cpd:C00003	hmdb:HMDB00902
cpd:C00004	hmdb:HMDB01487
cpd:C00005	hmdb:HMDB00221
cpd:C00006	hmdb:HMDB00217
cpd:C00007	hmdb:HMDB01377
cpd:C00008	hmdb:HMDB01341
cpd:C00009	hmdb:HMDB02142
cpd:C00010	hmdb:HMDB01423
cpd:C00011	hmdb:HMDB01967
cpd:C00013	hmdb:HMDB00250
cpd:C00014	hmdb:HMDB00051
cpd:C00015	hmdb:HMDB00295
cpd:C00016	hmdb:HMDB01248
cpd:C00018	hmdb:HMDB01491
cpd:C00019	hmdb:HMDB01185
cpd:C00020	hmdb:HMDB00045
cpd:C00021	hmdb:HMDB00939
cpd:C00022	hmdb:HMDB00243
cpd:C00023	hmdb:HMDB15531
cpd:C00024	hmdb:HMDB01206
cpd:C00025	hmdb:HMDB00148
cpd:C00026	hmdb:HMDB00208
cpd:C00027	hmdb:HMDB03125
cpd:C00029	hmdb:HMDB00286
cpd:C00031	hmdb:HMDB00122
cpd:C00032	hmdb:HMDB03178
cpd:C00033	hmdb:HMDB00042
cpd:C00035	hmdb:HMDB01201
cpd:C00036	hmdb:HMDB00223
cpd:C00037	hmdb:HMDB00123
cpd:C00038	hmdb:HMDB01303
cpd:C00041	hmdb:HMDB00161
cpd:C00042	hmdb:HMDB00254
cpd:C00043	hmdb:HMDB00290
cpd:C00044	hmdb:HMDB01273
cpd:C00047	hmdb:HMDB00182
cpd:C00048	hmdb:HMDB00119
cpd:C00049	hmdb:HMDB00191
cpd:C00051	hmdb:HMDB00125
cpd:C00052	hmdb:HMDB00302
cpd:C00053	hmdb:HMDB01134
cpd:C00054	hmdb:HMDB00061
cpd:C00055	hmdb:HMDB00095
cpd:C00058	hmdb:HMDB00142
cpd:C00059	hmdb:HMDB01448
cpd:C00059	hmdb:HMDB32444
cpd:C00061	hmdb:HMDB01520
cpd:C00062	hmdb:HMDB00517
cpd:C00063	hmdb:HMDB00082
cpd:C00064	hmdb:HMDB00641
cpd:C00065	hmdb:HMDB00187
cpd:C00067	hmdb:HMDB01426
cpd:C00068	hmdb:HMDB01372
cpd:C00070	hmdb:HMDB00657
cpd:C00072	hmdb:HMDB00044
cpd:C00073	hmdb:HMDB00696
cpd:C00074	hmdb:HMDB00263
cpd:C00075	hmdb:HMDB00285
cpd:C00076	hmdb:HMDB00464
cpd:C00077	hmdb:HMDB00214
cpd:C00078	hmdb:HMDB00929
cpd:C00079	hmdb:HMDB00159
cpd:C00080	hmdb:HMDB59597
cpd:C00081	hmdb:HMDB00189
cpd:C00082	hmdb:HMDB00158
cpd:C00083	hmdb:HMDB01175
cpd:C00084	hmdb:HMDB00990
cpd:C00085	hmdb:HMDB00124
cpd:C00086	hmdb:HMDB00294
cpd:C00088	hmdb:HMDB02786
cpd:C00089	hmdb:HMDB00258
cpd:C00090	hmdb:HMDB00957
cpd:C00091	hmdb:HMDB01022
cpd:C00092	hmdb:HMDB01401
cpd:C00093	hmdb:HMDB00126
cpd:C00094	hmdb:HMDB00240
cpd:C00094	hmdb:HMDB34829
cpd:C00095	hmdb:HMDB00660
cpd:C00096	hmdb:HMDB01163
cpd:C00097	hmdb:HMDB00574
cpd:C00099	hmdb:HMDB00056
cpd:C00100	hmdb:HMDB01275
cpd:C00101	hmdb:HMDB01846
cpd:C00103	hmdb:HMDB01586
cpd:C00104	hmdb:HMDB03335
cpd:C00105	hmdb:HMDB00288
cpd:C00106	hmdb:HMDB00300
cpd:C00108	hmdb:HMDB01123
cpd:C00109	hmdb:HMDB00005
cpd:C00110	hmdb:HMDB06353
cpd:C00111	hmdb:HMDB01473
cpd:C00112	hmdb:HMDB01546
cpd:C00113	hmdb:HMDB13636
cpd:C00114	hmdb:HMDB00097
cpd:C00116	hmdb:HMDB00131
cpd:C00117	hmdb:HMDB00618
cpd:C00117	hmdb:HMDB01548
cpd:C00118	hmdb:HMDB01112
cpd:C00119	hmdb:HMDB00280
cpd:C00120	hmdb:HMDB00030
cpd:C00121	hmdb:HMDB00283
cpd:C00122	hmdb:HMDB00134
cpd:C00123	hmdb:HMDB00687
cpd:C00127	hmdb:HMDB03337
