"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Client ref 1"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 2"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 3"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 4"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 5"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 6"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 7"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 8"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 9"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 10"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 11"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 12"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 13"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 14"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 15"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 16"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 17"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 18"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 19"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 20"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 21"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 22"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 23"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 24"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 25"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 26"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 27"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 28"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 29"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 30"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 31"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 32"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 33"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 34"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 35"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 36"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 37"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 38"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 39"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 40"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 41"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 42"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 43"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 44"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 45"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 46"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 47"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 48"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 49"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 50"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 51"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 52"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 53"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 54"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 55"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 56"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 57"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 58"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 59"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 60"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 61"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 62"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 63"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 64"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 65"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 66"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 67"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 68"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 69"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 70"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 71"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 72"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 73"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 74"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 75"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 76"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 77"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 78"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 79"	""	""	""	""	""	""	"Sample collection"	""
"Client ref 80"	""	""	""	""	""	""	"Sample collection"	""
